    "NewGame"    新游戏
    "New Game Tooltip"    进入海洋世界
    "ContinueGame"    继续游戏
    "Exit Tooltip"    浮上水面
    "Survival"    生存模式
    "Freedom"    自由模式
    "Hardcore"    极限模式
    "Back"    返回
    "LatestNews"    最新消息
    "NewsLoading"    正在加载
    "Language"    语言
    "Resolution"    分辨率
    "FieldOfView"    视野
    "Vsync"    垂直同步
    "Options"    选项
    "OptionsTooltip"    登艇前
    "DevelopmentVersion"    开发中版本
    "InventoryFull"    物品栏满了
    "RadiationDetected"    检测到辐射
    "Quartz"    石英
    "ScrapMetal"    可回收金属
    "Limestone"    石灰岩角
    "Copper"    铜矿石
    "CopperWire"    铜线
    "Salt"    盐块
    "Placeholder"    半成品
    "Glass"    玻璃
    "EnameledGlass"    釉瓷玻璃
    "Titanium"    钛
    "TitaniumIngot"    钛锭
    "PlasteelIngot"    塑钢锭
    "Silver"    银矿石
    "Gold"    金块
    "Lodestone"    磁石
    "WiringKit"    接线盒
    "AdvancedWiringKit"    高级接线盒
    "ComputerChip"    智能芯片
    "Diamond"    钻石
    "MODULES"    模块
    "AddedToInventory"    加入物品栏
    "BreakLimestone"    敲碎石灰岩
    "BreakSandstone"    敲碎砂石
    "BreakShale"    敲碎页岩
    "BreakBasalt"    敲碎玄武岩
    "BreakObsidian"    敲碎黑曜石岩
    "Fabricator"    工作台
    "UseFabricator"    使用工作台
    "Locker"    储物柜
    "Spotlight"    探照灯
    "Reinforce hull"    加固船体
    "Aquarium"    水族箱
    "EnterSeamoth"    进入海蛾号
    "NoSeamothDocked"    无海蛾号停泊
    "DiveSuit"    潜水服
    "ShipComputer"    船载计算机
    "Fins"    脚蹼
    "RadiationSuit"    防辐射服
    "Tank"    标准氧气瓶
    "Battery"    电池
    "Builder"    建造枪
    "Knife"    生存匕首
    "Drill"    电钻
    "Flashlight"    手电筒
    "Beacon"    信标
    "Bleach"    漂白剂
    "CurrentGenerator"    交流发电机
    "PowerCell"    动力电池
    "DiveReel"    水下导索
    "Rebreather"    循环呼吸器
    "Welder"    焊接器
    "Constructor"    载具舱
    "UseConstructor"    使用
    "Transfuser"    基因提取枪
    "Flare"    照明弹
    "StasisRifle"    凝滞枪
    "Observatory"    观景台
    "Audiolog"    语音日志
    "SafeShallowsEgg"    浅滩蛋
    "KelpForestEgg"    海藻森林蛋
    "GrassyPlateausEgg"    血藻高原蛋
    "GrandReefsEgg"    平原蛋
    "MushroomForestEgg"    蘑菇森林蛋
    "KooshZoneEgg"    库什区蛋
    "TwistyBridgesEgg"    曲桥蛋
    "LavaZoneEgg"    岩浆蛋
    "Workbench"    高级工作台
    "Tooltip_Workbench"    更先进的设备生产装置
    "SpecialHullPlate"    船体板
    "Tooltip_SpecialHullPlate"    限量船体板
    "Seamoth"    海蛾号
    "Exosuit"    海虾动力盔甲
    "PropulsionCannon"    冲击炮
    "SandLoot"    沙子
    "Signal"    信号
    "BallClusters"    树卵
    "BarnacleSuckers"    海蛭
    "BlueBarnacle"    蓝色藤壶
    "BlueBarnacleCluster"    蓝色藤壶簇
    "BlueCoralTubes"    蓝色珊瑚管
